홈플레이트 (0,0,0), 공 시작 (0, 18.44, 33.55) : z 좌표 마운드 평균 높이 31.75 + 투수 키 1.8

1. 속도 비율 x 방향 0.03, y 방향 0.95, z 방향 0.02 최종 속력
155km/h
(10.28, 5.84, 37.29)
(11.02, 4.94, 36.83)
(11.75, 4.04, 36.26)
(12.49, 3.14, 35.60)
(13.22, 2.24, 34.84)
(13.96, 1.34, 33.98)
(14.69, 0.44, 33.02)
(15.43, -0.46, 31.96)
(16.16, -1.36, 30.81)
(16.89, -2.26, 29.56)
(17.63, -3.16, 28.21)
(18.36, -4.06, 26.76)
(19.10, -4.96, 25.21)
(19.83, -5.86, 23.57)
(20.57, -6.76, 21.83)
(21.30, -7.66, 19.99)
(22.04, -8.56, 18.05)
(22.77, -9.46, 16.02)
(23.51, -10.36, 13.88)
(24.24, -11.25, 11.65)
(24.97, -12.15, 9.32)
(25.71, -13.05, 6.89)
(26.44, -13.95, 4.37)
(27.18, -14.85, 1.75)
(27.91, -15.75, -0.98)

146km/h
(0.00, 18.44, 33.55)
(0.73, 17.54, 34.45)
(1.47, 16.64, 35.26)
(2.20, 15.74, 35.97)
(2.93, 14.84, 36.58)
(3.67, 13.94, 37.09)
(4.40, 13.04, 37.50)
(5.13, 12.14, 37.82)
(5.87, 11.24, 38.04)
(6.60, 10.34, 38.16)
(7.33, 9.44, 38.18)
(8.07, 8.54, 38.10)
(8.80, 7.64, 37.93)
(9.53, 6.74, 37.66)
(10.27, 5.84, 37.29)
(11.00, 4.94, 36.82)
(11.73, 4.04, 36.25)
(12.47, 3.14, 35.59)
(13.20, 2.24, 34.83)
(13.93, 1.34, 33.97)
(14.67, 0.44, 33.01)
(15.40, -0.46, 31.95)
(16.13, -1.36, 30.80)
(16.87, -2.26, 29.55)
(17.60, -3.16, 28.20)
(18.33, -4.06, 26.75)
(19.07, -4.96, 25.20)
(19.80, -5.86, 23.56)
(20.53, -6.76, 21.81)
(21.27, -7.66, 19.97)
(22.00, -8.56, 18.04)
(22.73, -9.46, 16.00)
(23.47, -10.36, 13.87)
(24.20, -11.26, 11.63)
(24.93, -12.16, 9.30)
(25.67, -13.06, 6.88)
(26.40, -13.96, 4.35)
(27.13, -14.86, 1.73)
(27.87, -15.76, -1.00)

145km/h
(0.00, 18.44, 33.55)
(0.73, 17.54, 34.45)
(1.46, 16.64, 35.26)
(2.20, 15.74, 35.97)
(2.93, 14.84, 36.58)
(3.66, 13.94, 37.09)
(4.39, 13.04, 37.50)
(5.12, 12.14, 37.82)
(5.86, 11.24, 38.03)
(6.59, 10.34, 38.15)
(7.32, 9.44, 38.17)
(8.05, 8.54, 38.10)
