홈플레이트 (0,0,0), 공 시작 (0, 18.44, 33.55) : z 좌표 마운드 평균 높이 31.75 + 투수 키 1.8

1. 속도 비율 x 방향 0.03, y 방향 0.95, z 방향 0.02 최종 속력
155km/h
(17.72, -3.23, 28.72)
(18.45, -4.13, 27.30)
(19.19, -5.03, 25.77)
(19.93, -5.94, 24.15)
(20.67, -6.84, 22.43)
(21.41, -7.74, 20.61)
(22.14, -8.64, 18.70)
(22.88, -9.55, 16.68)
(23.62, -10.45, 14.57)
(24.36, -11.35, 12.36)
(25.10, -12.26, 10.05)
(25.84, -13.16, 7.65)
(26.57, -14.06, 5.14)
(27.31, -14.96, 2.54)
(28.05, -15.87, -0.16)

143km/h
(0.00, 18.44, 33.55)
(0.74, 17.54, 34.48)
(1.47, 16.63, 35.30)
(2.21, 15.73, 36.03)
(2.95, 14.83, 36.66)
(3.68, 13.93, 37.20)
(4.42, 13.02, 37.63)
(5.16, 12.12, 37.97)
(5.89, 11.22, 38.21)
(6.63, 10.31, 38.35)
(7.37, 9.41, 38.39)
(8.11, 8.51, 38.34)
(8.84, 7.61, 38.19)
(9.58, 6.70, 37.93)
(10.32, 5.80, 37.59)
(11.05, 4.90, 37.14)
(11.79, 3.99, 36.59)
(12.53, 3.09, 35.95)
(13.26, 2.19, 35.21)
(14.00, 1.28, 34.37)
(14.74, 0.38, 33.44)
(15.47, -0.52, 32.40)
(16.21, -1.42, 31.27)
(16.95, -2.33, 30.04)
(17.68, -3.23, 28.71)
(18.42, -4.13, 27.28)
(19.16, -5.04, 25.76)
(19.89, -5.94, 24.14)
(20.63, -6.84, 22.41)
(21.37, -7.74, 20.60)
(22.10, -8.65, 18.68)
(22.84, -9.55, 16.66)
(23.58, -10.45, 14.55)
(24.32, -11.36, 12.34)
(25.05, -12.26, 10.03)
(25.79, -13.16, 7.63)
(26.53, -14.06, 5.12)
(27.26, -14.97, 2.52)
(28.00, -15.87, -0.18)

142km/h
(0.00, 18.44, 33.55)
(0.74, 17.54, 34.47)
(1.47, 16.63, 35.30)
(2.21, 15.73, 36.03)
(2.94, 14.83, 36.66)
(3.68, 13.93, 37.19)
(4.41, 13.02, 37.63)
(5.15, 12.12, 37.96)
(5.88, 11.22, 38.20)
(6.62, 10.31, 38.34)
(7.35, 9.41, 38.39)
(8.09, 8.51, 38.33)
(8.83, 7.60, 38.18)
(9.56, 6.70, 37.93)
(10.30, 5.80, 37.58)
(11.03, 4.90, 37.13)
(11.77, 3.99, 36.58)
(12.50, 3.09, 35.94)
(13.24, 2.19, 35.20)
(13.97, 1.28, 34.36)
(14.71, 0.38, 33.42)
(15.45, -0.52, 32.39)
(16.18, -1.43, 31.25)
(16.92, -2.33, 30.02)
(17.65, -3.23, 28.69)
(18.39, -4.13, 27.27)
(19.12, -5.04, 25.74)
(19.86, -5.94, 24.12)
(20.59, -6.84, 22.40)
(21.33, -7.75, 20.58)
(22.06, -8.65, 18.66)
(22.80, -9.55, 16.64)
(23.54, -10.45, 14.53)
(24.27, -11.36, 12.32)
(25.01, -12.26, 10.01)
(25.74, -13.16, 7.60)
(26.48, -14.07, 5.10)
(27.21, -14.97, 2.49)
(27.95, -15.87, -0.21)

141km/h
(0.00, 18.44, 33.55)
(0.73, 17.54, 34.47)
(1.47, 16.63, 35.30)
(2.20, 15.73, 36.03)
(2.94, 14.83, 36.66)
(3.67, 13.92, 37.19)
(4.40, 13.02, 37.62)
(5.14, 12.12, 37.96)
(5.87, 11.22, 38.20)
(6.61, 10.31, 38.34)
(7.34, 9.41, 38.38)
(8.08, 8.51, 38.32)
(8.81, 7.60, 38.17)
(9.54, 6.70, 37.92)
(10.28, 5.80, 37.57)
(11.01, 4.89, 37.12)
(11.75, 3.99, 36.57)
(12.48, 3.09, 35.93)
(13.21, 2.19, 35.19)
(13.95, 1.28, 34.35)
(14.68, 0.38, 33.41)
(15.42, -0.52, 32.37)
(16.15, -1.43, 31.24)
(16.89, -2.33, 30.01)
(17.62, -3.23, 28.68)
(18.35, -4.14, 27.25)
(19.09, -5.04, 25.72)
(19.82, -5.94, 24.10)
(20.56, -6.84, 22.38)
(21.29, -7.75, 20.56)
(22.02, -8.65, 18.64)
(22.76, -9.55, 16.63)
(23.49, -10.46, 14.51)
(24.23, -11.36, 12.30)
(24.96, -12.26, 9.99)
(25.69, -13.17, 7.58)
(26.43, -14.07, 5.08)
(27.16, -14.97, 2.47)
(27.90, -15.88, -0.23)

140km/h
(0.00, 18.44, 33.55)
(0.73, 17.54, 34.47)
(1.47, 16.63, 35.30)
(2.20, 15.73, 36.03)
(2.93, 14.83, 36.66)
(3.66, 13.92, 37.19)
(4.40, 13.02, 37.62)
(5.13, 12.12, 37.96)
(5.86, 11.22, 38.19)
(6.59, 10.31, 38.33)
(7.33, 9.41, 38.37)
(8.06, 8.51, 38.32)
(8.79, 7.60, 38.16)
(9.53, 6.70, 37.91)
(10.26, 5.80, 37.56)
(10.99, 4.89, 37.11)
(11.72, 3.99, 36.56)
(12.46, 3.09, 35.92)
(13.19, 2.18, 35.18)
(13.92, 1.28, 34.34)
(14.66, 0.38, 33.40)
(15.39, -0.53, 32.36)
(16.12, -1.43, 31.23)
(16.85, -2.33, 29.99)
(17.59, -3.23, 28.66)
(18.32, -4.14, 27.23)
(19.05, -5.04, 25.71)
(19.78, -5.94, 24.08)
(20.52, -6.85, 22.36)
(21.25, -7.75, 20.54)
(21.98, -8.65, 18.62)
(22.72, -9.56, 16.61)
(23.45, -10.46, 14.49)
(24.18, -11.36, 12.28)
(24.91, -12.27, 9.97)
(25.65, -13.17, 7.56)
(26.38, -14.07, 5.05)
(27.11, -14.97, 2.45)
(27.85, -15.88, -0.25)

139km/h
(0.00, 18.44, 33.55)
(0.73, 17.54, 34.47)
(1.46, 16.63, 35.30)
(2.19, 15.73, 36.02)
(2.93, 14.83, 36.65)
(3.66, 13.92, 37.18)
(4.39, 13.02, 37.62)
(5.12, 12.12, 37.95)
(5.85, 11.21, 38.19)
(6.58, 10.31, 38.33)
(7.31, 9.41, 38.37)
(8.05, 8.51, 38.31)
(8.78, 7.60, 38.16)
(9.51, 6.70, 37.90)
(10.24, 5.80, 37.55)
(10.97, 4.89, 37.10)
(11.70, 3.99, 36.55)
(12.43, 3.09, 35.91)
(13.17, 2.18, 35.17)
(13.90, 1.28, 34.32)
(14.63, 0.38, 33.39)
(15.36, -0.53, 32.35)
(16.09, -1.43, 31.21)
(16.82, -2.33, 29.98)
(17.55, -3.24, 28.65)
(18.29, -4.14, 27.22)
(19.02, -5.04, 25.69)
(19.75, -5.95, 24.07)
(20.48, -6.85, 22.34)
(21.21, -7.75, 20.52)
(21.94, -8.66, 18.60)
(22.67, -9.56, 16.59)
(23.41, -10.46, 14.47)
(24.14, -11.36, 12.26)
(24.87, -12.27, 9.95)
(25.60, -13.17, 7.54)
(26.33, -14.07, 5.03)
(27.06, -14.98, 2.42)
(27.79, -15.88, -0.28)

138km/h
(0.00, 18.44, 33.55)
(0.73, 17.54, 34.47)
(1.46, 16.63, 35.30)
(2.19, 15.73, 36.02)
(2.92, 14.83, 36.65)
(3.65, 13.92, 37.18)
(4.38, 13.02, 37.61)
(5.11, 12.12, 37.95)
(5.84, 11.21, 38.18)
(6.57, 10.31, 38.32)
(7.30, 9.41, 38.36)
(8.03, 8.50, 38.30)
(8.76, 7.60, 38.15)
(9.49, 6.70, 37.89)
(10.22, 5.79, 37.54)
(10.95, 4.89, 37.09)
(11.68, 3.99, 36.54)
(12.41, 3.08, 35.90)
(13.14, 2.18, 35.15)
(13.87, 1.28, 34.31)
(14.60, 0.38, 33.37)
(15.33, -0.53, 32.33)
(16.06, -1.43, 31.20)
(16.79, -2.33, 29.96)
(17.52, -3.24, 28.63)
(18.25, -4.14, 27.20)
(18.98, -5.04, 25.67)
(19.71, -5.95, 24.05)
(20.44, -6.85, 22.32)
(21.17, -7.75, 20.50)
(21.90, -8.66, 18.58)
(22.63, -9.56, 16.57)
(23.36, -10.46, 14.45)
(24.09, -11.37, 12.24)
(24.82, -12.27, 9.92)
(25.55, -13.17, 7.51)
(26.28, -14.08, 5.01)
(27.01, -14.98, 2.40)
(27.74, -15.88, -0.30)

137km/h
(0.00, 18.44, 33.55)
(-173.66, 1267.93, 32.84)
(-347.31, 2517.43, 32.02)
(-520.97, 3766.92, 31.11)
(-694.62, 5016.42, 30.10)
(-868.28, 6265.91, 29.00)
(-1041.93, 7515.40, 27.79)
(-1215.59, 8764.90, 26.49)
(-1389.24, 10014.39, 25.09)
(-1562.90, 11263.88, 23.59)
(-1736.55, 12513.38, 22.00)
(-1910.21, 13762.87, 20.30)
(-2083.86, 15012.37, 18.51)
(-2257.52, 16261.86, 16.62)
(-2431.17, 17511.35, 14.63)
(-2604.83, 18760.85, 12.54)
(-2778.48, 20010.34, 10.36)
(-2952.14, 21259.84, 8.08)
(-3125.79, 22509.33, 5.70)
(-3299.45, 23758.82, 3.22)
(-3473.10, 25008.32, 0.64)
(-3646.76, 26257.81, -2.03)

136km/h
(0.00, 18.44, 33.55)
(-172.36, 1251.06, 33.06)
(-344.73, 2483.68, 32.47)
(-517.09, 3716.30, 31.78)
(-689.46, 4948.92, 31.00)
(-861.82, 6181.54, 30.11)
(-1034.19, 7414.16, 29.13)
(-1206.55, 8646.79, 28.05)
(-1378.92, 9879.41, 26.88)
(-1551.28, 11112.03, 25.60)
(-1723.64, 12344.65, 24.23)
(-1896.01, 13577.27, 22.76)
(-2068.37, 14809.89, 21.19)
(-2240.74, 16042.51, 19.52)
(-2413.10, 17275.13, 17.76)
(-2585.47, 18507.75, 15.89)
(-2757.83, 19740.37, 13.93)
(-2930.19, 20972.99, 11.87)
(-3102.56, 22205.61, 9.72)
(-3274.92, 23438.23, 7.46)
(-3447.29, 24670.85, 5.11)
(-3619.65, 25903.48, 2.66)
(-3792.02, 27136.10, 0.11)
(-3964.38, 28368.72, -2.54)

6. 속도 비율 x 방향 0.05, y 방향 0.91, z 방향 0.04 최종 속력
152km/h
(0.00, 18.44, 33.55)
(0.76, 17.54, 34.48)
(1.52, 16.64, 35.31)
(2.28, 15.74, 36.05)
(3.04, 14.84, 36.68)
(3.80, 13.94, 37.22)
(4.56, 13.03, 37.66)
(5.32, 12.13, 38.00)
(6.08, 11.23, 38.25)
(6.84, 10.33, 38.39)
(7.60, 9.43, 38.44)
(8.36, 8.53, 38.39)
(9.12, 7.63, 38.25)
(9.87, 6.73, 38.00)
(10.63, 5.83, 37.66)
(11.39, 4.93, 37.21)
(12.15, 4.02, 36.67)
(12.91, 3.12, 36.04)
(13.67, 2.22, 35.30)
(14.43, 1.32, 34.47)
(15.19, 0.42, 33.54)
(15.95, -0.48, 32.51)
(16.71, -1.38, 31.38)
(17.47, -2.28, 30.15)
(18.23, -3.18, 28.83)
(18.99, -4.08, 27.41)
(19.75, -4.99, 25.89)
(20.51, -5.89, 24.27)
(21.27, -6.79, 22.55)
(22.03, -7.69, 20.74)
(22.79, -8.59, 18.83)
(23.55, -9.49, 16.82)
(24.31, -10.39, 14.71)
(25.07, -11.29, 12.51)
(25.83, -12.19, 10.20)
(26.59, -13.09, 7.80)
(27.35, -14.00, 5.30)
(28.11, -14.90, 2.70)
(28.86, -15.80, 0.01)
(29.62, -16.70, -2.79)

151km/h
(0.00, 18.44, 33.55)
(0.76, 17.54, 34.48)
(1.52, 16.64, 35.31)
(2.27, 15.74, 36.05)
(3.03, 14.84, 36.68)
(3.79, 13.93, 37.22)
(4.55, 13.03, 37.66)
(5.31, 12.13, 38.00)
(6.07, 11.23, 38.24)
(6.82, 10.33, 38.39)
(7.58, 9.43, 38.44)
(8.34, 8.53, 38.39)
(9.10, 7.63, 38.24)
(9.86, 6.73, 37.99)
(10.62, 5.83, 37.65)
(11.37, 4.92, 37.21)
(12.13, 4.02, 36.67)
(12.89, 3.12, 36.03)
(13.65, 2.22, 35.29)
(14.41, 1.32, 34.46)
(15.17, 0.42, 33.52)
(15.92, -0.48, 32.49)
(16.68, -1.38, 31.37)
(17.44, -2.28, 30.14)
(18.20, -3.18, 28.81)
(18.96, -4.09, 27.39)
(19.72, -4.99, 25.87)
(20.47, -5.89, 24.25)
(21.23, -6.79, 22.54)
(21.99, -7.69, 20.72)
(22.75, -8.59, 18.81)
(23.51, -9.49, 16.80)
(24.27, -10.39, 14.69)
(25.02, -11.29, 12.49)
(25.78, -12.19, 10.18)
(26.54, -13.10, 7.78)
(27.30, -14.00, 5.28)
(28.06, -14.90, 2.68)
(28.82, -15.80, -0.02)

150km/h
(0.00, 18.44, 33.55)
(0.76, 17.54, 34.48)
(1.51, 16.64, 35.31)
(2.27, 15.74, 36.04)
(3.03, 14.84, 36.68)
(3.79, 13.93, 37.22)
(4.54, 13.03, 37.65)
(5.30, 12.13, 38.00)
(6.06, 11.23, 38.24)
(6.81, 10.33, 38.38)
(7.57, 9.43, 38.43)
(8.33, 8.53, 38.38)
(9.08, 7.63, 38.23)
(9.84, 6.73, 37.98)
(10.60, 5.82, 37.64)
(11.36, 4.92, 37.20)
(12.11, 4.02, 36.66)
(12.87, 3.12, 36.02)
(13.63, 2.22, 35.28)
(14.38, 1.32, 34.45)
(15.14, 0.42, 33.51)
(15.90, -0.48, 32.48)
(16.65, -1.38, 31.35)
(17.41, -2.28, 30.13)
(18.17, -3.19, 28.80)
(18.93, -4.09, 27.38)
(19.68, -4.99, 25.86)
(20.44, -5.89, 24.24)
(21.20, -6.79, 22.52)
(21.95, -7.69, 20.71)
(22.71, -8.59, 18.79)
(23.47, -9.49, 16.78)
(24.22, -10.39, 14.67)
(24.98, -11.30, 12.47)
(25.74, -12.20, 10.16)
(26.50, -13.10, 7.76)
(27.25, -14.00, 5.26)
(28.01, -14.90, 2.66)
(28.77, -15.80, -0.04)

149km/h
(0.00, 18.44, 33.55)
(0.76, 17.54, 34.48)
(1.51, 16.64, 35.31)
(2.27, 15.74, 36.04)
(3.02, 14.84, 36.68)
(3.78, 13.93, 37.21)
(4.53, 13.03, 37.65)
(5.29, 12.13, 37.99)
(6.05, 11.23, 38.23)
(6.80, 10.33, 38.38)
(7.56, 9.43, 38.43)
(8.31, 8.53, 38.37)
(9.07, 7.63, 38.22)
(9.82, 6.73, 37.98)
(10.58, 5.82, 37.63)
(11.34, 4.92, 37.19)
(12.09, 4.02, 36.65)
(12.85, 3.12, 36.01)
(13.60, 2.22, 35.27)
(14.36, 1.32, 34.43)
(15.11, 0.42, 33.50)
(15.87, -0.48, 32.47)
(16.63, -1.38, 31.34)
(17.38, -2.29, 30.11)
(18.14, -3.19, 28.79)
(18.89, -4.09, 27.36)
(19.65, -4.99, 25.84)
(20.40, -5.89, 24.22)
(21.16, -6.79, 22.50)
(21.91, -7.69, 20.69)
(22.67, -8.59, 18.78)
(23.43, -9.50, 16.76)
(24.18, -10.40, 14.65)
(24.94, -11.30, 12.45)
(25.69, -12.20, 10.14)
(26.45, -13.10, 7.74)
(27.20, -14.00, 5.24)
(27.96, -14.90, 2.64)
(28.72, -15.80, -0.06)

148km/h
(0.00, 18.44, 33.55)
(0.75, 17.54, 34.48)
(1.51, 16.64, 35.31)
(2.26, 15.74, 36.04)
(3.02, 14.84, 36.67)
(3.77, 13.93, 37.21)
(4.53, 13.03, 37.65)
(5.28, 12.13, 37.99)
(6.03, 11.23, 38.23)
(6.79, 10.33, 38.37)
(7.54, 9.43, 38.42)
(8.30, 8.53, 38.37)
(9.05, 7.63, 38.22)
(9.81, 6.72, 37.97)
(10.56, 5.82, 37.62)
(11.32, 4.92, 37.18)
(12.07, 4.02, 36.64)
(12.82, 3.12, 36.00)
(13.58, 2.22, 35.26)
(14.33, 1.32, 34.42)
(15.09, 0.42, 33.49)
(15.84, -0.48, 32.46)
(16.60, -1.39, 31.33)
(17.35, -2.29, 30.10)
(18.10, -3.19, 28.77)
(18.86, -4.09, 27.35)
(19.61, -4.99, 25.83)
(20.37, -5.89, 24.21)
(21.12, -6.79, 22.49)
(21.88, -7.69, 20.67)
(22.63, -8.60, 18.76)
(23.39, -9.50, 16.74)
(24.14, -10.40, 14.63)
(24.89, -11.30, 12.43)
(25.65, -12.20, 10.12)
(26.40, -13.10, 7.72)
(27.16, -14.00, 5.21)
(27.91, -14.90, 2.61)
(28.67, -15.81, -0.08)

147km/h
(0.00, 18.44, 33.55)
(0.75, 17.54, 34.48)
(1.51, 16.64, 35.31)
(2.26, 15.74, 36.04)
(3.01, 14.84, 36.67)
(3.77, 13.93, 37.21)
(4.52, 13.03, 37.64)
(5.27, 12.13, 37.98)
(6.02, 11.23, 38.22)
(6.78, 10.33, 38.37)
(7.53, 9.43, 38.41)
(8.28, 8.53, 38.36)
(9.04, 7.63, 38.21)
(9.79, 6.72, 37.96)
(10.54, 5.82, 37.61)
(11.30, 4.92, 37.17)
(12.05, 4.02, 36.63)
(12.80, 3.12, 35.99)
(13.55, 2.22, 35.25)
(14.31, 1.32, 34.41)
(15.06, 0.42, 33.48)
(15.81, -0.49, 32.44)
(16.57, -1.39, 31.31)
(17.32, -2.29, 30.08)
(18.07, -3.19, 28.76)
(18.83, -4.09, 27.33)
(19.58, -4.99, 25.81)
(20.33, -5.89, 24.19)
(21.08, -6.79, 22.47)
(21.84, -7.70, 20.65)
(22.59, -8.60, 18.74)
(23.34, -9.50, 16.73)
(24.10, -10.40, 14.62)
(24.85, -11.30, 12.41)
(25.60, -12.20, 10.10)
(26.36, -13.10, 7.70)
(27.11, -14.00, 5.19)
(27.86, -14.91, 2.59)
(28.61, -15.81, -0.11)

146km/h
(0.00, 18.44, 33.55)
(0.75, 17.54, 34.48)
(1.50, 16.64, 35.31)
(2.26, 15.74, 36.04)
(3.01, 14.83, 36.67)
(3.76, 13.93, 37.20)
(4.51, 13.03, 37.64)
(5.26, 12.13, 37.98)
(6.01, 11.23, 38.22)
(6.77, 10.33, 38.36)
(7.52, 9.43, 38.41)
(8.27, 8.53, 38.35)
(9.02, 7.62, 38.20)
(9.77, 6.72, 37.95)
(10.52, 5.82, 37.61)
(11.28, 4.92, 37.16)
(12.03, 4.02, 36.62)
(12.78, 3.12, 35.98)
(13.53, 2.22, 35.24)
(14.28, 1.32, 34.40)
(15.03, 0.41, 33.46)
(15.79, -0.49, 32.43)
(16.54, -1.39, 31.30)
(17.29, -2.29, 30.07)
(18.04, -3.19, 28.74)
(18.79, -4.09, 27.32)
(19.54, -4.99, 25.79)
(20.30, -5.90, 24.17)
(21.05, -6.80, 22.45)
(21.80, -7.70, 20.64)
(22.55, -8.60, 18.72)
(23.30, -9.50, 16.71)
(24.05, -10.40, 14.60)
(24.81, -11.30, 12.39)
(25.56, -12.20, 10.08)
(26.31, -13.11, 7.67)
(27.06, -14.01, 5.17)
(27.81, -14.91, 2.57)
(28.56, -15.81, -0.13)

145km/h
(0.00, 18.44, 33.55)
(-169.10, 1348.12, 32.69)
(-338.19, 2677.81, 31.74)
(-507.29, 4007.49, 30.69)
(-676.38, 5337.18, 29.54)
(-845.48, 6666.86, 28.29)
(-1014.57, 7996.55, 26.95)
(-1183.67, 9326.23, 25.50)
(-1352.76, 10655.92, 23.96)
(-1521.86, 11985.60, 22.32)
(-1690.95, 13315.29, 20.59)
(-1860.05, 14644.97, 18.75)
(-2029.14, 15974.66, 16.82)
(-2198.24, 17304.34, 14.78)
(-2367.34, 18634.02, 12.66)
(-2536.43, 19963.71, 10.43)
(-2705.53, 21293.39, 8.10)
(-2874.62, 22623.08, 5.68)
(-3043.72, 23952.76, 3.16)
(-3212.81, 25282.45, 0.54)
(-3381.91, 26612.13, -2.18)

144km/h
(0.00, 18.44, 33.55)
(-168.04, 1331.53, 32.87)
(-336.08, 2644.62, 32.09)
(-504.12, 3957.71, 31.22)
(-672.16, 5270.80, 30.24)
(-840.20, 6583.89, 29.17)
(-1008.24, 7896.98, 28.00)
(-1176.28, 9210.08, 26.73)
(-1344.33, 10523.17, 25.37)
(-1512.37, 11836.26, 23.90)
(-1680.41, 13149.35, 22.34)
(-1848.45, 14462.44, 20.68)
(-2016.49, 15775.53, 18.92)
(-2184.53, 17088.62, 17.07)
(-2352.57, 18401.71, 15.11)
(-2520.61, 19714.80, 13.06)
(-2688.65, 21027.89, 10.91)
(-2856.69, 22340.98, 8.66)
(-3024.73, 23654.07, 6.32)
(-3192.77, 24967.16, 3.87)
(-3360.81, 26280.26, 1.33)
(-3528.85, 27593.35, -1.31)

143km/h
(0.00, 18.44, 33.55)
(-166.97, 1314.93, 33.05)
(-333.95, 2611.42, 32.45)
(-500.92, 3907.91, 31.76)
(-667.89, 5204.40, 30.96)
(-834.86, 6500.89, 30.07)
(-1001.84, 7797.38, 29.08)
(-1168.81, 9093.87, 28.00)
(-1335.78, 10390.36, 26.81)
(-1502.75, 11686.85, 25.53)
(-1669.73, 12983.34, 24.15)
(-1836.70, 14279.83, 22.67)
(-2003.67, 15576.32, 21.09)
(-2170.64, 16872.81, 19.41)
(-2337.62, 18169.30, 17.64)
(-2504.59, 19465.79, 15.77)
(-2671.56, 20762.28, 13.80)
(-2838.53, 22058.77, 11.73)
(-3005.51, 23355.26, 9.57)
(-3172.48, 24651.75, 7.30)
(-3339.45, 25948.23, 4.94)
(-3506.42, 27244.72, 2.48)
(-3673.40, 28541.21, -0.08)

7. 속도 비율 x 방향 0.07, y 방향 0.83, z 방향 0.10 최종 속력
153km/h
(0.00, 18.44, 33.55)
(0.73, 17.54, 34.46)
(1.46, 16.64, 35.27)
(2.19, 15.74, 35.98)
(2.92, 14.84, 36.59)
(3.66, 13.94, 37.11)
(4.39, 13.03, 37.53)
(5.12, 12.13, 37.85)
(5.85, 11.23, 38.07)
(6.58, 10.33, 38.20)
(7.31, 9.43, 38.22)
(8.04, 8.53, 38.15)
(8.77, 7.63, 37.98)
(9.50, 6.73, 37.71)
(10.24, 5.83, 37.35)
(10.97, 4.93, 36.88)
(11.70, 4.03, 36.32)
(12.43, 3.13, 35.66)
(13.16, 2.22, 34.90)
(13.89, 1.32, 34.05)
(14.62, 0.42, 33.09)
(15.35, -0.48, 32.04)
(16.08, -1.38, 30.89)
(16.82, -2.28, 29.64)
(17.55, -3.18, 28.30)
(18.28, -4.08, 26.85)
(19.01, -4.98, 25.31)
(19.74, -5.88, 23.67)
(20.47, -6.78, 21.93)
(21.20, -7.69, 20.10)
(21.93, -8.59, 18.16)
(22.66, -9.49, 16.13)
(23.40, -10.39, 14.00)
(24.13, -11.29, 11.77)
(24.86, -12.19, 9.45)
(25.59, -13.09, 7.02)
(26.32, -13.99, 4.50)
(27.05, -14.89, 1.88)
(27.78, -15.79, -0.84)

152km/h
(0.00, 18.44, 33.55)
(0.73, 17.54, 34.46)
(1.46, 16.64, 35.27)
(2.19, 15.74, 35.98)
(2.92, 14.84, 36.59)
(3.65, 13.94, 37.11)
(4.38, 13.03, 37.53)
(5.11, 12.13, 37.85)
(5.84, 11.23, 38.07)
(6.57, 10.33, 38.19)
(7.30, 9.43, 38.22)
(8.03, 8.53, 38.14)
(8.76, 7.63, 37.97)
(9.49, 6.73, 37.71)
(10.22, 5.83, 37.34)
(10.95, 4.93, 36.87)
(11.68, 4.02, 36.31)
(12.41, 3.12, 35.65)
(13.14, 2.22, 34.89)
(13.87, 1.32, 34.04)
(14.60, 0.42, 33.08)
(15.33, -0.48, 32.03)
(16.06, -1.38, 30.88)
(16.79, -2.28, 29.63)
(17.52, -3.18, 28.28)
(18.25, -4.08, 26.84)
(18.98, -4.98, 25.30)
(19.71, -5.89, 23.66)
(20.44, -6.79, 21.92)
(21.17, -7.69, 20.08)
(21.90, -8.59, 18.15)
(22.63, -9.49, 16.12)
(23.36, -10.39, 13.99)
(24.09, -11.29, 11.76)
(24.82, -12.19, 9.43)
(25.55, -13.09, 7.01)
(26.28, -13.99, 4.48)
(27.01, -14.89, 1.86)
(27.74, -15.80, -0.85)

151km/h
(0.00, 18.44, 33.55)
(0.73, 17.54, 34.46)
(1.46, 16.64, 35.27)
(2.19, 15.74, 35.98)
(2.92, 14.84, 36.59)
(3.64, 13.93, 37.11)
(4.37, 13.03, 37.52)
(5.10, 12.13, 37.84)
(5.83, 11.23, 38.06)
(6.56, 10.33, 38.19)
(7.29, 9.43, 38.21)
(8.02, 8.53, 38.14)
(8.75, 7.63, 37.97)
(9.47, 6.73, 37.70)
(10.20, 5.83, 37.33)
(10.93, 4.92, 36.87)
(11.66, 4.02, 36.30)
(12.39, 3.12, 35.64)
(13.12, 2.22, 34.88)
(13.85, 1.32, 34.03)
(14.58, 0.42, 33.07)
(15.30, -0.48, 32.02)
(16.03, -1.38, 30.87)
(16.76, -2.28, 29.62)
(17.49, -3.18, 28.27)
(18.22, -4.09, 26.83)
(18.95, -4.99, 25.28)
(19.68, -5.89, 23.64)
(20.41, -6.79, 21.91)
(21.13, -7.69, 20.07)
(21.86, -8.59, 18.13)
(22.59, -9.49, 16.10)
(23.32, -10.39, 13.97)
(24.05, -11.29, 11.74)
(24.78, -12.19, 9.41)
(25.51, -13.10, 6.99)
(26.24, -14.00, 4.47)
(26.96, -14.90, 1.85)
(27.69, -15.80, -0.87)

150km/h
(0.00, 18.44, 33.55)
(0.73, 17.54, 34.46)
(1.46, 16.64, 35.27)
(2.18, 15.74, 35.98)
(2.91, 14.84, 36.59)
(3.64, 13.93, 37.10)
(4.37, 13.03, 37.52)
(5.09, 12.13, 37.84)
(5.82, 11.23, 38.06)
(6.55, 10.33, 38.18)
(7.28, 9.43, 38.21)
(8.00, 8.53, 38.13)
(8.73, 7.63, 37.96)
(9.46, 6.73, 37.69)
(10.19, 5.82, 37.32)
(10.91, 4.92, 36.86)
(11.64, 4.02, 36.30)
(12.37, 3.12, 35.63)
(13.10, 2.22, 34.87)
(13.82, 1.32, 34.02)
(14.55, 0.42, 33.06)
(15.28, -0.48, 32.01)
(16.01, -1.38, 30.86)
(16.73, -2.28, 29.61)
(17.46, -3.19, 28.26)
(18.19, -4.09, 26.82)
(18.92, -4.99, 25.27)
(19.65, -5.89, 23.63)
(20.37, -6.79, 21.89)
(21.10, -7.69, 20.05)
(21.83, -8.59, 18.12)
(22.56, -9.49, 16.08)
(23.28, -10.39, 13.95)
(24.01, -11.30, 11.72)
(24.74, -12.20, 9.40)
(25.47, -13.10, 6.97)
(26.19, -14.00, 4.45)
(26.92, -14.90, 1.83)
(27.65, -15.80, -0.89)

149km/h
(0.00, 18.44, 33.55)
(0.73, 17.54, 34.46)
(1.45, 16.64, 35.26)
(2.18, 15.74, 35.97)
(2.91, 14.84, 36.59)
(3.63, 13.93, 37.10)
(4.36, 13.03, 37.52)
(5.08, 12.13, 37.83)
(5.81, 11.23, 38.05)
(6.54, 10.33, 38.18)
(7.26, 9.43, 38.20)
(7.99, 8.53, 38.13)
(8.72, 7.63, 37.96)
(9.44, 6.72, 37.69)
(10.17, 5.82, 37.32)
(10.90, 4.92, 36.85)
(11.62, 4.02, 36.29)
(12.35, 3.12, 35.63)
(13.08, 2.22, 34.87)
(13.80, 1.32, 34.01)
(14.53, 0.42, 33.05)
(15.25, -0.48, 32.00)
(15.98, -1.39, 30.85)
(16.71, -2.29, 29.60)
(17.43, -3.19, 28.25)
(18.16, -4.09, 26.80)
(18.89, -4.99, 25.26)
(19.61, -5.89, 23.62)
(20.34, -6.79, 21.88)
(21.07, -7.69, 20.04)
(21.79, -8.59, 18.10)
(22.52, -9.50, 16.07)
(23.25, -10.40, 13.94)
(23.97, -11.30, 11.71)
(24.70, -12.20, 9.38)
(25.42, -13.10, 6.95)
(26.15, -14.00, 4.43)
(26.88, -14.90, 1.81)
(27.60, -15.80, -0.91)

148km/h
(0.00, 18.44, 33.55)
(0.73, 17.54, 34.46)
(1.45, 16.64, 35.26)
(2.18, 15.74, 35.97)
(2.90, 14.84, 36.58)
